No Urut APPD;No Urut Barat-Timur;Kode PWK;Perwakilan BPKP;Korwas/ Dalnis;PIC Narasi;Tema Pengawasan;Judul Lama Tema di Buku;"Usulan Judul Baru (untuk yg warna Merah)
atau Judul yang Lebih Menarik/""Menjual"" (untuk yang warna putih)";Kebermanfaatan / Dampak;Rendal Substantif;Kode Cluster;Nama Cluster APPD 2022;APakah sudah dibahas di FGD Westin?;"Apakah program yang diawasi ini strategis/tidak? Mengapa program ini strategis?
 Apakah dimuat dalam RPJMD/Renstra?(Lengkapi dengan dokumen Renstra/RPJMD/RKPD) 
 Atau apakah menjadi concern Kepala Gubernur?
Poin ini adalah poin krusial yang akan menentukan persepsi Pak Kepala dalam penentuan strategis atau tidak";ada tidaknya permasalahan/isu yg sedang terjadi (concern Gub);Kejelasan tujuan dan dampak program;Nilai Rupiah dari program/anggaran (dalam konteks multiyears / tahunan). Apakah nilainya signifikan?;"Risiko kegagalan program dan permasalahan lainnya jika tidak diawasi 
atau Potensi bernilai ekonomis tinggi jika tidak diawasi";Rendal Substansi;TW I;TW II;TW III;TW IV;TW I;TW II;TW III;TW IV;;Sudah Semua? (v);Catatan
11;32;6;Bengkulu;Aderial Adelis;Widi;Pengawasan atas Pengelolaan Perhutanan Sosial oleh Masyarakat;Pengelolaan Perhutanan Sosial oleh Masyarakat;;;D1.02;5;Ketahanan Bencana dan Lingkungan Hidup;"Mengajukan : Pelaksanaan Pembangkit Listrik Tenaga Panas Bumi (PLTP) Hululais Kabupaten Lebong Provinsi Bengkulu (sudah dibahas tgl 31 Jan 21, perwakilan harus menyajikan peran dan kontribusi Pemda)
";;;;;;D 1.2;;;;✓;;;;✓;;;Perwakilan baru mengajukan PPT, KAK belum ada. 
12;52;6;Bengkulu;Fajar Hudoyo;Widi;Pengawasan atas Pengelolaan OPAD BPHTB atas HGU Perkebunan;Pengelolaan OPAD BPHTB atas HGU Perkebunan;;Ya;D3.01;7;Pengelolaan dan Optimalisasi PAD;;Kawasan hutan yang masih luas pada Provinsi Bengkulu,sebagian sudah dibuka untuk lahan pertanian dan perkebunan. Komoditi perkebunan yang paling dominan dan menjadi andalan dari seluruh kabupaten di Provinsi Bengkulu adalah sawit. Adanya peningkatan luasan lahan perkebunan kelapa sawit tersebut terjadi hampir di seluruh kabupaten dan kota di Bengkulu;Kenaikan areal luas lahan perkebunan dari Tahun 2019 ke Tahun 2020 sekitar lebih kurang 2.000 Ha berpengaruh atas potensi penerimaan pajak daerah (BPHTB) terkendala belum tertibnya kepatuhan wajib pajak untuk melakukan pembayaran BPHTB  ;Potensi penerimaan pajak daerah melalui BPHTB;Belum ada nilai potensi penerimaan pajak daerah dari naiknya areal luas lahan;pemerintah daerah tidak dapat menambah potensi penerimaan daerahnya melalui proses penggalian potensi dari pengenaan BPHTB;D 1.2;;;;✓;;✓;;;;belum;Diarahkan ke tata kelola
13;45;7;Sumatera Selatan;Ade Sunardi;Frida;Pengawasan atas Program Peningkatan Produktivitas Pertanian dalam Mendukung Kedaulatan Pangan;Program Peningkatan Produktivitas Pertanian dalam Mendukung Kedaulatan Pangan;;Ya;D1.02;6;Ketahanan Pangan;;;Berdasarkan Data Dinas Pertanian Tanaman Pangan dan Hortikultura Provinsi Sumatera Selatan, capaian produksi padi Sumsel Tahun 2019 tercatat sebesar 4.534.070 ton GKG. Gubernur Sumatera Selatan berharap dapat menjadi daerah  penghasil pangan tertinggi di Indonesia seiriing dengan potensi lahan yang masih luas.;Pengawalan program Serasi (Selamatkan Rawa, Sejahterakan Petani) dari Kementerian Pertanian seluas 200.000 ha di Kabupaten Banyuasin dan OKI pada lahan tidak produktif untuk dijadikan lahan pertanian merupakan kebijakan Gubernur Sumatera Selatan guna mendorong peningkatan produksi pangan.  Gubernur juga mendorong agar masa tanam dan panen dapat ditambah menjadi tiga kali dari sebelumnya hanya dua kali panen dengan memanfaatkan teknologi pertanian dan menyemangati petani di daerah untuk mendongkrak produksi dari rata-rata 4 ton per ha menjadi 6 ton per ha. Bantuan yang diberikan kepada petani diantaranya pendistribusian alat pertanian, pupuk, benih padi, pembuatan sodetan dan pemberian Kartu Tani.;Anggaran APBD untuk program peningkatan produktivitas pertanian dan kedaulatan pangan tahun 2022 masih dalam proses rekapitulasi;"Terdapat berbagai risiko dalam pelaksanaan program unggulan tersebut, antara lain kurangnya koordinasi dalam pelaksanan kegiatan ini sehingga masing-masing pihak berjalan sendiri-sendiri, kurangnya komitmen para pihak dan ego sektoral serta isu konservasi dan perlindungan alam serta budaya lokal.
Note:
Faktor2 yang menghambat masih bersifat tata kelola belum mencerminkan risiko program pencapaian Food Estate";D 1.2;;;;✓;;;✓;;;belum;
14;33;7;Sumatera Selatan;Ade Sunardi;Frida;Pengawasan atas Program Penanganan Kebakaran Hutan dan Lahan;Program Penanganan Kebakaran Hutan dan Lahan;;Tidak;D2.03;5;Ketahanan Bencana dan Lingkungan Hidup;;"Peningkatan Kualitas Lingkungan dan Ketahanan Bencana menjadi salah satu isu strategis daerah Provinsi Sumatera Selatan. Sangat ironis kebakaran hutan dan lahan (karhutla) masih sering terjadi di Provinsi Sumatera Selatan. Tercatat pada periode 2016-2019 hutan dan lahan yang terbakar seluas 369.312,17 Ha dengan rata-rata 61.552,03 Ha per tahun. 
Tahun 2019 merupakan kebakaran hutan terbesar seluas 336.798,00 Ha.";Pengendalian atau pencegahan sesuai regulasi pemerintah pusat maupun Peraturan Daerah Provinsi Sumatera Selatan Nomor 8 Tahun 2016 tentang Pengendalian Kebakaran Hutan dan/atau lahan belum dilaksanakan secara efektif, sehingga karhutla masih sering terjadi.;Upaya pencegahan dan penanggulangan karhutla yang akan dilaksanakan seperti update regulasi, sosialisasi Dinas perkebunan dan pertanian terkait metode Pembukaan Lahan Tanpa Bakar (PLTB), pengadaan sarana prasarana peralatan pemadam kebakaran, hingga akan dilaksanakan investigasi atas kebakaran hutan/lahan yang terjadi dan pemberian sanksi hukuman.  ;Anggaran APDB untuk Program Pelayanan Pencegahan dan Kesiapsiagaan terhadap Bencana dan Program Penyelamatan dan Evakuasi Tahun 2021 sebesar Rp 11.080.232.648;Kebakaran hutan dan lahan mengakibatkan kerugian yang sangat besar baik pada aspek ekonomi, aspek kesehatan, aspek lingkungan, dan kerugian atas biaya pemulihan yang harus dikeluarkan pemerintah.;D 2.3;✓;;;;✓;;;;;belum;
15;28;8;Lampung;Agus Wibowo;Frida;Pengawasan atas Program Smart Village;Program Smart Village;;Tidak;D1.03;4;Pembangunan Sumber Daya Manusia;t;Program Smart Village merupakan bentuk kesadaran sosial masyarakat di desa atas perubahan digital sebagai pengembangan potensi guna meningkatkan kesejahteraan masyarakat melalui pemanfaatan teknologi informasi. Tiga pilar utama dalam mewujudkan Smart Village yakni pemerintahan desa (smart government), ekonomi kreatif (smart economy) dan inkubasi desa (smart people).;Lampung memiliki potensi cukup besar dengan 13 kabupaten, 2 kota, 229 kecamatan, 2.435 desa dan 215 kelurahan yang masing-masing mempunyai sumber daya yang berbeda beda. Hal ini menjadi tantangan tersendiri dalam upaya pengembangan potensi di Lampung melalui program Smart Village ini. ;Program ini bertujuan untuk mendorong dan mewujudkan berbagai potensi di Provinsi Lampung agar dapat menjadi salah satu kekuatan ekonomi kreatif digital di Indonesia yang berfokus pada layanan publik, agrikultur, Kesehatan, Pendidikan, pariwisata, logistik dan maritim.;Tahun 2021 nilai anggaran sebesar Rp3.780.000.000,00 yang dibebankan pada Anggaran DPMDT Lampung pada kegiatan Pelaksanaan Penata Usahaan dan Pengujian/Verifikasi Keuangan SKPD.;"Belum dilakukan sinkronisasi kegiatan yang tercantum dalam Master Plan dengan kegiatan dalam Renstra, Renja OPD yang mendukung Program Smart Village;";D 3.3;;;;✓;;;;✓;;belum;
16;3;8;Lampung;Agus Wibowo;Frida;Pengawasan atas Program Kartu Petani Berjaya (KPB);Program Kartu Petani Berjaya (KPB);;Tidak;D1.02;1;Pemulihan Ekonomi;;"Untuk peningkatan pendapatan dan kesejahteraan petani). Program Kartu Petani Berjaya dilaksanakan melalui aplikasi Kartu Petani Berjaya yang dikembangkan oleh PT. Bina Tani /Universitas Bandar Lampung (UBL) membutuhkan biaya sangat besar dan pembiayaannya tidak menggunakan APBD Provinsi Lampung, sehingga diperlukan pengawasan untuk memastikan bahwa program kartu berjaya dapat berjalan sesuai dengan rencana (going concern program).
Program KPB dilaksanakan melalui aplikasi Kartu Petani Berjaya yang dikembangkan oleh PT. Bina Tani /Universitas Bandar Lampung (UBL)";"- Program Kartu Petani Berjaya didasari karena adanya ketimpangan wilayah Timur – Barat, Utara–Selatan dan Darat–Laut/Pesisir yang daerah pesisir, pedesaan, pertanian dan perikanan yang perlu menjadi perhatian untuk ditangani
- Adanya alih fungsi lahan pertanian ke non pertanian cukup tinggi, dan Provinsi Lampung sebagai lumbung pangan nasional";Program KPB bertujuan untuk meningkatkan pendapatan petani menuju kesejahteraan melalui upaya penyelesaian permasalahan secara terstruktur, sistematis, dan terintegrasi melalui pemanfaatan sistem teknologi informasi;"Tahun 2021 nilai anggaran sebesar Rp8.319.856.500,00, dianggarkan pada 4 OPD.
Tahun 2022 nilai anggaran sebesar Rp17.884.883.750,00 dianggarkan pada 7 OPD
Selain itu terdapat biaya pengembangan aplikasi yang tidak menggunakan dana APBD
";Pengalihan pengelolaan aplikasi dari pihak UBL ke PT Wahana Raharja menyebabkan terhambatnya operasional aplikasi Kartu Petani Berjaya disebabkan sumber daya yang dimiliki PT Wahan Raharja tidak memadai, baik SDM maupun infrastruktur.;D 1.2;;;;✓;;;;✓;;belum;
17;8;9;DKI Jakarta;Fajar Hudoyo;Hanes;Pengawasan atas Peran Jakarta Investment Center (JIC) dalam Peningkatan Investasi;Pengelolaan dan Pemanfaatan Jakarta International Stadium (JIS);;Ya;D2.04;3;Penguatan Infrastruktur dan Konektivitas;Ganti tema JIS;Pemerintah Provinsi DKI Jakarta menugaskan PT. Jakarta Propertindo (Jakpro) yang merupakan Perseroan Daerah (Perseroda) untuk mengembangkan kawasan olahraga terpadu seluas 265.335,99 m2, dan kemudian ditetapkan lahan Taman BMW yang terletak di Jalan R.E Martadinata, Tanjung Priok, Jakarta Utara sebagai lokasi pembangunan;"Beberapa isu strategis terkait pelaksanaan pembangunan adalah sebagai berikut, Gubernur DKI Jakarta yakin pekerjaan selesai  pada 31 Oktober 2021 sesuai jadwal kontrak tetapi dalam kenyataannya pekerjaan tidak dapat diselesaikan sesuai jadwal kontrak yaitu tingkat penyelesaian pekerjaan pada awal tahun 2022 baru mencapai 93,85%.

";Diharapkam menjadi ikon Indonesia dan menjadi 10 stadion terbaik di seluruh dunia, dan manjdi suatu kawasan olahraga terpadu di Jakarta;4,5 Triliun;adanya kendala dalam pelaksanaan pekerjaan pabrikasi rangka baja, pengiriman rangka baja dan pekerjaan assembly rangka baja yang terlambat dari rencana yang telah ditetapkan serta dampak pandemi Covid-19 dan keterbatasan pekerja/manpower, menurunnya produktifitas/kinerja kegiatan kontruksi khususnya pada kegiatan yang berada pada jalur kritis. Berdasarkan alasan tersebut pihak kontraktor meminta perpanjangan waktu selama 5 bulan sampai dengan bulan Maret tahun 2022;D 1.1;;✓;;;✓;;;;;Belum;"1. Analissa kemampuan keuangan daerah dalam pengembalian Pinjaman PEN
2. Program Strategis Gubernur yang Mana yang Perlu Disajikan
3. Apakah masuk dalam RPJMD tahun 2022
4. Analisis kebermanfaatan dari fasilitas olahraga atau kawasan terpadu perlu disampaikan"
18;29;9;DKI Jakarta;Fajar Hudoyo;Hanes;Pengawasan atas Program Kartu Jakarta Mahasiswa Unggul;Penciptaan Layanan Transportasi Terintegrasi Jak Lingko;;Ya;D4.02;3;Penguatan Infrastruktur dan Konektivitas;Ganti tema JAK Lingko;Sebagai sebuah sistem, JakLingko diartikan sebagai sistem transportasi yang terintegrasi baik rute, manajemen maupun pembayarannya, yang mencakup BRT (bis besar, medium, dan kecil Transjakarta) serta transportasi berbasis rel yaitu MRT dan LRT.  kemudian Gubernur DKI menugaskan 3 (tiga) BUMD Prov DKI Jakarta yaitu  PT MRT Jakarta (Perseroda), PT Transjakarta dan PT Jakpro (Perseroda) untuk menyelenggarakan sistem integrasi pembayaran antar moda transportasi. ;Jaklingko mampu menurunkan tingkat kemacetan yang ada di Kota Jakarta;NA;- Tahun 2022 nilai anggaran sebesar Rp17.884.883.750,00 dianggarkan pada 7 OPD;"Kegagalan implementasi
-Integrasi prasarana dan sarana Transportasi,
-Integrasi sistem operasional Transportasi pada moda transportasi MRT, LRT, Layanan Angkutan Transjakarta, Layanan Angkutan Pengumpan (feeder) dan layanan angkutan dan/atau pendukung lainnya sebagai pendukung Sistem Jak Lingko, serta 
-Penetapan Paket Tarif (Bundling Tariff).
";D 2.4;;;✓;;;✓;;;;Belum;"1. Nilai Anggaran dari Program Jaklingko belum disampaikan
2. Uraikan Faktor2 Sistem Integrasi bisa mengurai Kemacetan di Jakarta
3. Apakah masuk dalam RPJMD Periode Tahun 2022
4. Buat perbandingan indikator sebelum dan sesudah adanya Integrasi"
19;53;10;Jawa Barat;Ade Sunardi;Ardilles;Pengawasan atas Peran BUMD Migas dalam Kontribusi kepada Pembangunan di Wilayah Provinsi Jawa Barat.;PENGENDALIAN PENCEMARAN DAN KERUSAKAN DAS CITARUM;;ya;D2.03;5;Ketahanan Bencana dan Lingkungan Hidup;;;;;;;D 4.4;;✓;;;;✓;;;;;
20;54;10;Jawa Barat;Ade Sunardi;Ardilles;Pengawasan atas Optimalisasi PAD Sektor Jalan Tol di Jawa Barat;Optimalisasi PAD Sektor Jalan Tol di Jawa Barat;;ya;D3.01;7;Pengelolaan dan Optimalisasi PAD;;"Tingkat kemandirian daerah di wilayah Provinsi Jawa Barat termasuk kategori rendah sekali dengan Rata-rata sebesar 22,94%. Hal ini menunjukkan sebagian besar pemerintah daerah di wilayah Provinsi Jawa Barat masih bergantung pada pendapatan transfer dari pemerintah pusat serta masih belum mampu melaksanakan otonomi daerah dengan mengoptimalkan hasil PADnya.
 Sebagai upaya untuk meningkatkan PAD Pemerintah Daerah di Wilayah Provinsi Jawa Barat, perlu dilaksanakan Optimalisasi Penerimaan Asli Daerah, khususnya untuk objek pajak yang masih memiliki potensi pajak yang tinggi, yaitu PBB-P2 Jalan Tol.
 
 Dari 28 (dua puluh delapan) Pemerintah Daerah yang ada di Jawa Barat terdapat kurang lebih 20 (dua puluh) Pemerintah Daerah yang dilalui Jalan Toll, dan rencana yang akan di evaluasi sebanyak 4(empat) Pemerintah Daerah.";"- tingkat kolektibilitasnya Pajak jalan Tol sejak 2014 semakin tahun semakin rendah 
 - keselarasan Kebijakan Pemerintah Pusat dan Pemerintah Daerah dalam pengelolaan PBB termasuk PBB P2 Jalan Tol 
 - Tidak tercapainya Target PAD khususnya PBB P2 Jalan Tol sesuai dengan peta potensi
 - Perhitungan Realisasi pencapaian target PBB P2 Jalan Tol dan Tunggakan PBB P2 Jalan Tol sejak 2014 sd 2021
 - Potensi PBB jalan tol yang belum dipungut;
 
 Penjelasan poin b tambahan: Pembagian kontribusi Jalan Tol sudah sesuai dengan batas administratif wilayah setempat";"Maksud dan Tujuan
 a. Maksud
 Kegiatan optimalisasi PBB jalan tol dimaksudkan untuk memastikan bahwa penetapan objek pajak dan perhitungannnya telah sesuai dengan aturan. 
 b. Tujuan
 Evaluasi Optimalisasi Jalan Tol bertujuan untuk:
 1) Meningkatkan potensi penerimaan pajak asli daerah di Jawa Barat;
 2) Meyakinkan bahwa penetapan luasan Objek telah sesuai dengan kondisi lapangan;
 3) Meyakinkan bahwa penilaian baik bumi dan bangunan telah sesuai dengan aturan.
 4) Meningkatkan/mengoptimalkan penerimaan PBB-P2 Jalan Tol:
 5) Meningkatnya derajat desentralisasi Fiskal.";;"b. Dalam melakukan pengelolaan PBB jalan tol ini terdapat Beberapa titik kritis yaitu:
 • kurangnya pemahaman SDM Bapenda terhadap cara perhitungan PBB nya, 
 • data aset berupa jalan tol dan bangunan penunjang sebagai dasar untuk perhitungan besaran PBB jalan tol tidak lengkap;
 • pada umumnya pemerintah daerah yang dilalui jalan tol belum memiliki peraturan kepala daerah terkait perhitungan PBB jalan tol dan besaran tarif per jenis bangunan.
 Sehingga terdapat potensi tidak terpungutnya atau terlalu rendahnya penetapan PBB jalan tol. 
 c. Disamping itu terdapat tanah perkebunan yang sudah dialih fungsikan dan sudah berubah kemanfaatan menjadi jalan tol, namun PBB nya masih dipungut oleh pemerintah pusat karena seharusnya menjadi pemerintah daerah.";D 3.1;;;;;;✓;;;;;
21;18;11;Jawa Tengah;Agus Wibowo;Ardilles;Pengawasan atas Program Bantuan Stimulan Perumahan Swadaya (BSPS);Program Bantuan Stimulan Perumahan Swadaya (BSPS);;ya;D2.03;4;Pembangunan Sumber Daya Manusia;;Pembangunan Infrastruktur Pelayanan Dasar dan Infrastruktur Perkotaan atas Akses Perumahan dan Permukiman Layak, Aman, dan Terjangkau merupakan strategi pembangunan infrastruktur di dalam Program Strategis Pembangunan Daerah dalam RPJMN 2020-2024.  Capaian pembangunan RT yang menempati Rumah Layak Huniselama 2015-2019 sebesar 54,10%.  Sementara itu, program bantuan ini termasuk dalam salah satu PRIORITAS PEMBANGUNAN DAERAH SESUAI RPJMD 2018-2023 di dalam poin satgas kemiskinan, bantuan desa dan rumah sederhana layak huni, dimana kondisi di Jawa Tengah masih terdapat 521.734 unit Rumah Tidak Layak Huni (RTLH) (sumber : http://datartlh.perumahan.pu.go.id/mdashboard/). ;"Hasil Reviu TW IV, permasalahan yang ada
""•Perbedaan data RTLH berdasarkan e-RTLH, Simperum dan BDT Kabupaten/Kota.
•Status kepemilikan tanah bukan merupakan milik penerima bantuan dan menggunakan surat keterangan kepala desa meskipun penerima bantuan memiliki sertifikat hak milik.
•Lokasi pembangunan tidak sesuai usulan penerima bantuan.
•Ketidaksesuaian pembelian bahan pada Daftar Rencana Pembelian Barang (DRPB) dan kuitansi dengan bahan yang diterima atau digunakan.
•Pembangunan fisik rumah tidak sesuai persyaratan teknis kekuatan bangunan
•Terdapat rumah penerima bantuan dengan progress fisik 100% tetapi belum dapat dimanfaatkan disebabkan belum ada kamar mandi, listrik, air serta pintu dan daun jendela belum terpasang. ";Target Persentase Rumah Tangga yang memiliki akses terhadap hunian yang layak 87.60 % dan Persentase Kawasan Permukiman  yang layak huni dan berkelanjutan 79.36 % ;"Estimasi anggaran BSPS pada Lampiran Perpres 78/2019  sebesar 2.187,5 T seluruh Jateng 
sedangkan pada Tahun 2021 Anggaran 374.360.000.000,00 untuk 18.718 unit di Prov Jateng";"1.   Tingginya Jumlah RTLH di Jawa Tengah sebanyak 521.734 unit (sumber : http://datartlh.perumahan.pu.go.id/mdashboard/)
2.Penerima BSPS tidak sesuai kriteria (tidak tepat sasaran)
3. kecenderungan menghasilkan perumahan yang tidak teratur dan kurang layak huni karena terbatasnya akses.
4. BSPS tidak mendukung program sejuta rumah";D 2.3;;;;✓;;;;✓;;belum;
22;9;11;Jawa Tengah;Agus Wibowo;Ardilles;Pengawasan atas Pengembangan Kawasan Industri Terpadu Batang (KITB);Pengembangan Kawasan Industri Terpadu Batang (KITB);;ya;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;"Pembangunan Kawasan Industri Terpadu Batang (KITB) merupakan Proyek Strategi Nasional (PSN) yang bersifat lintas sektor (Perpres PSN No 109 Tahun 2020), dimana pengembangannya menggunakan lahan milik PTPN IX seluas ±4.300 Ha yang terbagi menjadi 3 klaster, yaitu klaster I  seluas ±3.100 Ha, klaster II ± 800 Ha dan klaster III ± 400 Ha.

Ditargetkan beroperasi pada tahun 2023, KITB merupakan kawasan industri yang dirancang ramah investasi. Hasil kajian yang dilakukan oleh konsultan AECOM bahwa KITB memiliki daya saing tinggi baik harga maupun kualitas dengan Kawasan Industri di Vietnam Tengah dan Kawasan Industri lainya di ASEAN. Arti penting keberadaan KITB sesuai dengan arahan Presiden saat kunjungan meninjau Kawasan Industri Terpadu Batang pada 30 Juni 2020 yaitu adanya potensi 177 perusahaan asing relokasi ke Indonesia.
Sampai dengan tahun 2021 terdapat 2 investor yang telah menandatangani kontrak, 3 investor siap menandatangani kontrak, 5 investor dalam proses pemilihan lahan dan negosiasi; seluruhnya menggunakan lahan 250 ha.";"Pengembangan kawasan industri perlu pembebasan lahan dari warga; pematangan lahan sangat besar (sebagaian besar lahan bekas tambak); dan ketersediaan lahan dalam waktu cepat untuk pengembangan Kawasan Industri

• Perijinan pemanfaatan lahan pada jalur lahan Jasa Marga
• kompensasi aset terdampak pada saat konstruksi dan pasca konstruksi
• Belum ada kebijakan yang mengatur tentang perpindahan kepemilikan aset dari kementerian/Lembaga kepada KITB atas infrastruktur yang telah selesai dibangun dan sedang berlangsung (on going) yang dikerjakan baik oleh PT KITB (memakai dana PMN) dan kementerian/Lembaga (dana APBN).
";"Nilai PDRB Provinsi Jawa tengah masih rendah bila dibandingkan dengan provinsi lain. Hal ini disebabkan oleh  luasan kawasan industri di Jawa Tengah yang masih rendah. Dengan adanya Pembangunan KITB di Provinsi Jawa Tengah diharapkan menjadi langkah tepat untuk meningkatkan PDRB serta menggeser Kawasan industri sentral dari Jawa Barat ke Jawa Tengah. Selain itu, KITB juga diharapkan membawa peningkatan pertumbuhan ekonomi dan penyerapan tenaga kerja di Provinsi Jawa Tengah.

Kawasan industri ini harapannya dapat memberikan keuntungan untuk semua pihak. Ada dua macam manfaatnya: Bagi masyarakat, kawasan ini bisa menyerap tenaga kerja dan berperan dalam pertumbuhan ekonomi. Bagi pemerintah kabupaten, kawasan industri ini dapat meningkatkan pendapatan asli daerah. Hasil pendapatan tersebut bisa digunakan kembali untuk kepentingan masyarakat.";Jumlah kontrak pembangunan Kawasan Industri Terpadu Batang adalah 34 (tiga puluh empat) kontrak senilai Rp3.274.217.958.179,00 dengan realisasi pembayaran sampai dengan tanggal 31 Oktober 2021 sebesar Rp1.095.381.213.002,00 atau 33,45%.  Sedangkan konstruksi berupa pematangan lahan pada fase 1 klaster 1 seluas 450 hektar dari total lahan klaster seluas 3.100 hektar dengan kemajuan pekerjaan mencapai 449,36 Ha atau 14,50%;"Potensi Risiko Mangkrak oleh faktor regulasi, faktor teknis dan faktor lingkungan, serta adanya Potensi sengketa Lahan.

Risiko besarnya adalah para investor tidak jadi menanamkan modalnya di KITB karena urusan birokrasi yang menyumbat kelancaran pembangunan KITB
Adanya konflik kepentingan konsorsium yang masih mengedepankan kepentingannya
Pemasukan sewa dari Tenant dan penyerapan tenaga kerja serta meningkatnya PDRB Jateng dari sektor maunfaktur.
Infrastruktur pendukung terlambat dibangun yang akan menyebabkan terlambatnya para investor untuk berinvestasi";D 1.4;;;;✓;✓;;;;;SUDAH OK;
23;64;12;DI Yogyakarta;Aderial Adelis;Hanes;Pengawasan atas Bantuan Keuangan Khusus Dana Keistimewaan Daerah Istimewa Yogyakarta;Bantuan Keuangan Khusus Dana Keistimewaan Daerah Istimewa Yogyakarta;;Tidak;D3.02;8;Pariwisata;Belum;BKK Dana Keistimewaan yang merupakan Program Gubernur dalam merupakan pendukung pencapaian target kinerja urusan keistimewaan;"1) realisasi D/KMB yang terbentuk dalam tahun 2021 adalah 10 desa dari 15 desa yang ditargetkan dalam tahun 2021 (target sd tahun 2022 sebanyak 20 desa);      
2) indikator outcome atas tujuan pembangunan D/KMB belum ditetapkan;
3) pengaturan atas keberlangsungan/konsistensi pemberian BKK Dana Keistimewaan D/KMB belum memadai; 
4) persyaratan untuk menjadi D/KMB dan proses penilaiannya belum ditetapkan secara transparan; 
5) D/KMB belum menyusun master plan terkait dengan pengembangannya;
6) peraturan terkait waktu penyampaian usulan rencanaa program dan kegiatan serta kebutuhan pendanaannya urusan keistimewaan belum menetapkan kerangka waktunya; 
7) petunjuk teknis pemberian BKK Dana Keistimewaan kepada Pemerintah Kalurahan belum memadai dan ;
8) pelaksanaan program D/KMB belum didukung sistem informasi digital.";NA;1.300.000.000.000 (Tahun 2021);"a. Pengelolaan dana BKK tidak memenuhi prinsip-prinsip efisien, efektif dan ekonomis;
b. Penggunaan dana tidak tepat sasaran atau di luar  11 (sebelas) Kebijakan Strategus Gubernur DIY dalam Urusan Keistimewaan;
c. Pengamanan aset dan kekayaan desa yang bersumber dari Dana Keistimewaan kepada Kalurahan belum memadai;
d. Peraturan Kalurahan belum memuat prioritas penggunaan BKK Dana Keistimewaan pada Kalurahan;
e. Penggunaan BKK Dana Keistimewaan belum sesuai dengan peraturan perundangan sehingga tujuan pemberian BKK tidak tercapai.
";D 3.2;;;;✓;;;;✓;;belum;"1. Nilai Anggaran khusus BKK harus disajikan
2. Menunjang Program STrategis Gubernur yang mana, perlu diinformasikan
3. Periode RPJMD dalam proses pelaporan juga perlu diperhatikan, dan apakah memuat tentang BKK
4. Isu Strategis apa yang mau disampaikan dari adanya BKK perlu ditambahkan
5. BKK harus dijelaskan mau dipake buat apa?
6. masalahnya apa kenapa BKK harus diawasi"
24;19;12;DI Yogyakarta;Aderial Adelis;Hanes;Pengawasan atas Pengelolaan Sampah Terpadu (PST) Piyungan;Pengelolaan Sampah Terpadu (PST) Piyungan;;Tidak;D1.02;3;Penguatan Infrastruktur dan Konektivitas;;"Proses KBPU  sendiri sudah dimulai dari tahun 2018 berupa tahap persiapan, dilanjutkan dengan studi kelayakan pada tahun 2019, lelang konsultan pada tahun 2020, dan lelang konstruksi pada tahun 2021. Diharapkan pada tahun 2023, pengelolaan sampah sudah dapat terlaksana dengan skema KPBU.
";Kerja Sama Pemerintah Badan Usaha (KPBU) dalam pengelolaan sampah belum berjalan. ;"Pengelolaan sampah dengan skema KPBU diharapkan dapat memberikan keuntungan bagi pihak Pemerintah maupun swasta. Bagi Pemerintah Daerah skema ini diharapkan dapat menghemat biaya operasional dan pemeliharaan PST. Sementara bagi pihak swasta, pengelolaan sampah diharapkan dapat memberikan keuntungan secara finansial.
";NA;NA;D 1.2;;✓;;;;;;✓;;belum;"1. Program Strategis apa yang Mau Dicapai dengan TPST Piyungan
2. Sajikan Nilai Anggaran untuk Kegiatan yang sifatnya Multiyears
3. Sajikan Seberapa Overload Kondisi Sampah di Jogjakarta
4. Sajikan Teknologi Pengolahan Sampah Terpadu itu yang seperti apa
5. Sajikan Hambatan secara utuh atas suatu Program tidak hanya bicara KPBU saja"
